City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Charleston,US,77.02,overcast clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
7,Butaritari,KI,83.28,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
15,Kieta,PG,82.54,light rain,-6.2167,155.6333,Uruna Bay Retreat
22,Saint Pete Beach,US,78.03,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
34,Mayumba,GA,75.74,broken clouds,-3.432,10.6554,LIKWALE LODGE
35,Bengkulu,ID,79.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
42,Seoul,KR,79.99,few clouds,37.5683,126.9778,Lotte Hotel Seoul
43,Itarema,BR,76.24,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
49,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
53,Omboue,GA,76.28,broken clouds,-1.5746,9.2618,Hotel Olako
59,Shimoda,JP,78.12,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
63,Jalu,LY,75.85,clear sky,29.0331,21.5482,صاحبة الفخامة
67,Daru,PG,79.7,overcast clouds,-9.0763,143.2092,Daru Lodge
74,Kavieng,PG,84.18,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
83,Bonthe,SL,78.84,moderate rain,7.5264,-12.505,Bonthe Holiday Village
88,Syracuse,IT,76.62,broken clouds,37.0881,15.2792,Hotel Posta
89,Saint Anthony,US,84.22,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
90,Progreso,MX,80.06,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
101,Cabo San Lucas,MX,84.81,clear sky,22.8909,-109.9124,Tesoro Los Cabos
103,Ahuimanu,US,80.31,clear sky,21.4447,-157.8378,Paradise Bay Resort
105,Hithadhoo,MV,82.56,moderate rain,-0.6,73.0833,Scoop Guest House
108,Nara,JP,76.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
117,Hilo,US,77.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
120,Deputatskiy,RU,77.4,overcast clouds,69.3,139.9,Baza Otdykha
125,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
128,Kudahuvadhoo,MV,83.43,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
