City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-05-25 01:51:29,62.456,-114.3525,39.72,41,1,5.01
1,Blairgowrie,GB,2021-05-25 01:51:29,56.5916,-3.3405,46.02,82,100,1.01
2,Jamestown,US,2021-05-25 01:48:33,42.097,-79.2353,66.85,94,91,1.7
3,Sur,OM,2021-05-25 01:51:30,22.5667,59.5289,88.52,49,2,11.39
4,Puerto Ayora,EC,2021-05-25 01:51:30,-0.7393,-90.3518,74.55,89,59,5.01
5,Ozernovskiy,RU,2021-05-25 01:51:31,51.5,156.5167,40.66,81,100,8.95
6,Whitehorse,CA,2021-05-25 01:48:34,60.7161,-135.0538,50.77,66,75,9.22
7,Albany,US,2021-05-25 01:50:58,42.6001,-73.9662,63.18,59,52,5.77
8,Hilo,US,2021-05-25 01:48:24,19.7297,-155.09,82.13,76,1,14.97
9,Stokmarknes,NO,2021-05-25 01:51:31,68.5646,14.9108,42.49,74,2,7.23
10,Kirkuk,IQ,2021-05-25 01:51:32,35.4681,44.3922,74.23,35,100,16.73
11,Atuona,PF,2021-05-25 01:51:32,-9.8,-139.0333,80.33,71,1,18.21
12,Cape Town,ZA,2021-05-25 01:49:03,-33.9258,18.4232,61.12,90,90,6.93
13,Butaritari,KI,2021-05-25 01:51:33,3.0707,172.7902,76.73,85,100,3.56
14,Provideniya,RU,2021-05-25 01:51:33,64.3833,-173.3,42.91,61,0,24.61
15,Mataura,NZ,2021-05-25 01:51:33,-46.1927,168.8643,49.48,56,0,1.99
16,Sorland,NO,2021-05-25 01:51:34,67.667,12.6934,43.38,72,5,14.85
17,Keti Bandar,PK,2021-05-25 01:51:34,24.1447,67.4497,83.64,75,0,19.35
18,Busselton,AU,2021-05-25 01:51:34,-33.65,115.3333,57.04,63,98,2.53
19,Upernavik,GL,2021-05-25 01:51:35,72.7868,-56.1549,27.07,81,99,6.51
20,Goderich,CA,2021-05-25 01:51:35,43.7501,-81.7165,68.92,68,39,4.61
21,Punta Arenas,CL,2021-05-25 01:49:32,-53.15,-70.9167,30.31,69,40,22.12
22,Mana,GF,2021-05-25 01:51:36,5.6592,-53.7767,76.19,97,100,9.33
23,Luderitz,NA,2021-05-25 01:51:36,-26.6481,15.1594,65.84,57,100,5.93
24,Fortuna,US,2021-05-25 01:51:37,40.5982,-124.1573,70.48,62,20,4.0
25,Pacific Grove,US,2021-05-25 01:51:37,36.6177,-121.9166,77.2,76,1,4.0
26,Olafsvik,IS,2021-05-25 01:51:37,64.8945,-23.7142,43.48,81,100,11.86
27,Qaanaaq,GL,2021-05-25 01:51:38,77.484,-69.3632,27.34,67,9,7.31
28,Aykino,RU,2021-05-25 01:51:38,62.2248,49.9922,51.31,83,100,9.37
29,Faanui,PF,2021-05-25 01:51:38,-16.4833,-151.75,81.34,74,100,7.27
30,Nanortalik,GL,2021-05-25 01:51:38,60.1432,-45.2371,35.51,99,100,5.75
31,Tuatapere,NZ,2021-05-25 01:51:39,-46.1333,167.6833,49.82,55,0,1.54
32,Saint-Philippe,RE,2021-05-25 01:51:39,-21.3585,55.7679,69.35,76,25,6.44
33,Mount Gambier,AU,2021-05-25 01:51:37,-37.8333,140.7667,55.31,100,75,17.27
34,Basco,PH,2021-05-25 01:51:40,20.4487,121.9702,84.49,73,0,9.24
35,Nuoro,IT,2021-05-25 01:51:40,40.3211,9.3297,56.39,94,27,5.46
36,Taoudenni,ML,2021-05-25 01:51:40,22.6783,-3.9836,93.02,21,21,8.59
37,Ust-Ishim,RU,2021-05-25 01:51:41,57.6935,71.1665,71.37,58,65,7.65
38,Tiksi,RU,2021-05-25 01:51:41,71.6872,128.8694,37.99,88,18,6.02
39,San Cristobal,VE,2021-05-25 01:51:41,7.7669,-72.225,71.78,95,94,3.36
40,Ponta Do Sol,PT,2021-05-25 01:51:42,32.6667,-17.1,67.01,82,33,6.22
41,Broome,US,2021-05-25 01:51:42,42.2506,-75.833,60.06,91,90,5.99
42,Laguna,US,2021-05-25 01:50:49,38.421,-121.4238,89.31,37,1,7.0
43,Hermanus,ZA,2021-05-25 01:51:43,-34.4187,19.2345,60.91,75,92,4.61
44,Sawtell,AU,2021-05-25 01:51:43,-30.3833,153.1,69.82,60,90,1.14
45,Bluff,NZ,2021-05-25 01:51:43,-46.6,168.3333,49.8,63,2,3.09
46,Chipiona,ES,2021-05-25 01:51:44,36.7366,-6.437,64.62,66,0,13.18
47,Saskylakh,RU,2021-05-25 01:51:44,71.9167,114.0833,46.9,77,76,6.29
48,Rikitea,PF,2021-05-25 01:51:44,-23.1203,-134.9692,74.86,83,100,16.26
49,Barrow,US,2021-05-25 01:51:45,71.2906,-156.7887,28.42,74,90,9.22
50,Harper,LR,2021-05-25 01:51:45,4.375,-7.7169,79.88,86,66,8.23
51,Tuktoyaktuk,CA,2021-05-25 01:51:45,69.4541,-133.0374,32.0,93,90,10.36
52,Carnarvon,AU,2021-05-25 01:51:46,-24.8667,113.6333,60.87,72,0,13.8
53,Huarmey,PE,2021-05-25 01:51:46,-10.0681,-78.1522,65.62,86,56,6.85
54,Kapaa,US,2021-05-25 01:51:46,22.0752,-159.319,81.12,69,75,1.99
55,Narsaq,GL,2021-05-25 01:51:47,60.9167,-46.05,39.92,72,100,1.63
56,Krasnoselkup,RU,2021-05-25 01:51:47,65.7,82.4667,35.44,56,47,15.68
57,Karratha,AU,2021-05-25 01:51:47,-20.7377,116.8463,72.72,35,91,23.53
58,Vaini,TO,2021-05-25 01:51:47,-21.2,-175.2,78.96,73,75,10.36
59,Yerofey Pavlovich,RU,2021-05-25 01:51:48,53.9667,121.9667,40.03,98,100,5.93
60,Raduzhnyy,RU,2021-05-25 01:51:48,62.0961,77.475,44.19,55,100,9.13
61,Yumen,CN,2021-05-25 01:51:48,40.2833,97.2,70.39,10,100,8.79
62,Husavik,IS,2021-05-25 01:51:49,66.0449,-17.3389,40.91,85,11,5.64
63,Stutterheim,ZA,2021-05-25 01:51:49,-32.5708,27.424,63.28,36,100,10.31
64,Zhezkazgan,KZ,2021-05-25 01:51:49,47.8043,67.7144,74.34,36,0,12.12
65,Lorengau,PG,2021-05-25 01:51:50,-2.0226,147.2712,82.51,84,98,13.11
66,Tasiilaq,GL,2021-05-25 01:49:32,65.6145,-37.6368,33.96,95,100,37.49
67,Ushuaia,AR,2021-05-25 01:51:50,-54.8,-68.3,28.06,100,90,28.77
68,Hobart,AU,2021-05-25 01:49:02,-42.8794,147.3294,63.23,73,75,5.01
69,Adre,TD,2021-05-25 01:51:51,13.4667,22.2,77.43,10,93,6.69
70,Sidi Ali,DZ,2021-05-25 01:51:51,36.0998,0.4206,62.35,51,93,5.82
71,Chumikan,RU,2021-05-25 01:51:51,54.7183,135.315,32.52,99,100,21.41
72,Aksu,CN,2021-05-25 01:51:52,41.1231,80.2644,71.64,18,100,4.25
73,Taksimo,RU,2021-05-25 01:51:52,56.3444,114.8794,49.59,41,100,3.22
74,Gat,IL,2021-05-25 01:51:52,31.61,34.7642,68.68,75,2,0.78
75,Kudahuvadhoo,MV,2021-05-25 01:51:53,2.6708,72.8944,84.33,72,99,21.99
76,Port Elizabeth,ZA,2021-05-25 01:50:49,-33.918,25.5701,61.09,88,0,2.3
77,Puerto Montt,CL,2021-05-25 01:50:14,-41.4698,-72.9447,47.23,85,75,2.62
78,Kratovo,MK,2021-05-25 01:51:53,42.0792,22.1814,61.39,83,95,4.83
79,Petropavlovsk-Kamchatskiy,RU,2021-05-25 01:51:54,53.0452,158.6483,54.19,65,29,9.66
80,Rocha,UY,2021-05-25 01:51:54,-34.4833,-54.3333,53.82,66,0,16.26
81,Yulara,AU,2021-05-25 01:51:54,-25.2406,130.9889,60.64,51,0,12.66
82,Arraial Do Cabo,BR,2021-05-25 01:51:55,-22.9661,-42.0278,71.31,62,100,20.83
83,Bethel,US,2021-05-25 01:51:55,41.3712,-73.414,58.55,61,1,6.91
84,Haines Junction,CA,2021-05-25 01:51:55,60.7522,-137.5108,46.35,81,95,2.3
85,Port-Gentil,GA,2021-05-25 01:51:56,-0.7193,8.7815,79.61,87,100,11.95
86,Vao,NC,2021-05-25 01:51:56,-22.6667,167.4833,71.55,62,0,19.1
87,Ilulissat,GL,2021-05-25 01:51:57,69.2167,-51.1,41.0,45,100,24.79
88,Noumea,NC,2021-05-25 01:49:32,-22.2763,166.4572,75.99,99,21,12.06
89,Merritt Island,US,2021-05-25 01:51:57,28.5392,-80.672,76.26,68,1,8.03
90,Vestmannaeyjar,IS,2021-05-25 01:51:57,63.4427,-20.2734,43.81,71,94,17.09
91,Grants Pass,US,2021-05-25 01:51:58,42.439,-123.3284,71.11,36,40,1.99
92,Aden,YE,2021-05-25 01:51:13,12.7794,45.0367,85.87,73,42,10.16
93,Harboore,DK,2021-05-25 01:51:58,56.6175,8.1807,51.1,98,100,7.36
94,Constitucion,CL,2021-05-25 01:50:29,-35.3333,-72.4167,54.61,85,11,8.03
95,Henties Bay,NA,2021-05-25 01:51:59,-22.116,14.2845,68.86,59,23,0.76
96,Beringovskiy,RU,2021-05-25 01:51:59,63.05,179.3167,33.33,92,100,10.42
97,Baherden,TM,2021-05-25 01:51:59,38.4362,57.4316,81.68,30,34,1.99
98,Hami,CN,2021-05-25 01:49:10,42.8,93.45,78.21,13,0,2.55
99,Price,US,2021-05-25 01:52:00,39.5994,-110.8107,67.26,22,20,10.36
100,New Norfolk,AU,2021-05-25 01:52:00,-42.7826,147.0587,62.89,51,100,7.43
101,Mayenne,FR,2021-05-25 01:52:00,48.3333,-0.6667,42.24,97,9,7.87
102,Bredasdorp,ZA,2021-05-25 01:52:01,-34.5322,20.0403,54.28,86,95,3.85
103,Kahului,US,2021-05-25 01:52:01,20.8947,-156.47,86.02,67,40,10.36
104,Iqaluit,CA,2021-05-25 01:52:01,63.7506,-68.5145,19.13,57,75,11.99
105,Kristinehamn,SE,2021-05-25 01:52:02,59.3098,14.1081,51.51,84,100,9.51
106,Kutum,SD,2021-05-25 01:52:02,14.2,24.6667,73.6,14,98,7.25
107,Aswan,EG,2021-05-25 01:52:02,24.0934,32.907,79.56,19,0,7.36
108,Sherlovaya Gora,RU,2021-05-25 01:52:03,50.5667,116.25,47.57,35,9,16.49
109,Killybegs,IE,2021-05-25 01:52:03,54.6333,-8.45,47.82,88,29,11.77
110,Kodiak,US,2021-05-25 01:52:04,57.79,-152.4072,56.71,58,1,6.91
111,Pitimbu,BR,2021-05-25 01:52:04,-7.4706,-34.8086,75.79,75,41,9.17
112,Lebu,CL,2021-05-25 01:52:04,-37.6167,-73.65,53.4,91,39,3.85
113,Visby,SE,2021-05-25 01:52:05,57.6409,18.296,49.95,81,100,11.52
114,Moussoro,TD,2021-05-25 01:52:05,13.6408,16.4901,83.77,9,67,10.76
115,Ayia Galini,GR,2021-05-25 01:52:05,35.1,24.6833,71.85,37,0,5.57
116,Tazovskiy,RU,2021-05-25 01:52:06,67.4667,78.7,29.28,75,10,11.01
117,Thompson,CA,2021-05-25 01:52:06,55.7435,-97.8558,50.16,93,90,8.05
118,Namibe,AO,2021-05-25 01:52:06,-15.1961,12.1522,73.29,63,0,7.27
119,Tura,IN,2021-05-25 01:52:07,25.5198,90.2201,75.24,89,100,1.92
120,Hasaki,JP,2021-05-25 01:52:07,35.7333,140.8333,80.19,64,10,6.08
121,Port Blair,IN,2021-05-25 01:52:07,11.6667,92.75,77.04,83,90,8.05
122,Ziro,IN,2021-05-25 01:52:08,27.6333,93.8333,66.49,79,94,0.67
123,Aklavik,CA,2021-05-25 01:52:08,68.2191,-135.0107,50.72,59,18,9.91
124,Ancud,CL,2021-05-25 01:52:08,-41.8697,-73.8203,47.23,74,100,7.43
125,Georgetown,MY,2021-05-25 01:47:11,5.4112,100.3354,87.73,80,20,1.01
126,Charters Towers,AU,2021-05-25 01:52:09,-20.1,146.2667,77.09,45,9,12.37
127,Khatanga,RU,2021-05-25 01:52:09,71.9667,102.5,32.49,100,100,6.06
128,The Pas,CA,2021-05-25 01:52:09,53.8251,-101.2541,57.22,83,90,5.57
129,Lagoa,PT,2021-05-25 01:52:10,39.05,-27.9833,61.68,71,100,15.52
130,Dikson,RU,2021-05-25 01:52:10,73.5069,80.5464,26.71,84,13,8.05
131,Pangnirtung,CA,2021-05-25 01:52:10,66.1451,-65.7125,23.0,86,90,11.5
132,Savasleyka,RU,2021-05-25 01:52:11,55.4606,42.3207,53.37,82,100,4.5
133,Nikolskoye,RU,2021-05-25 01:52:11,59.7035,30.7861,46.4,87,84,2.71
134,Ust-Ilimsk,RU,2021-05-25 01:52:11,58.0006,102.6619,44.55,96,100,6.26
135,Port Alfred,ZA,2021-05-25 01:52:12,-33.5906,26.891,68.0,55,100,9.69
136,Salinopolis,BR,2021-05-25 01:52:12,-0.6136,-47.3561,80.89,83,21,12.12
137,Torbay,CA,2021-05-25 01:52:12,47.6666,-52.7314,31.75,79,3,12.82
138,Chapais,CA,2021-05-25 01:52:13,49.7834,-74.8492,53.38,56,65,6.4
139,Bilma,NE,2021-05-25 01:52:13,18.6853,12.9164,86.63,8,0,12.39
140,Grindavik,IS,2021-05-25 01:52:13,63.8424,-22.4338,43.27,72,0,18.48
141,East London,ZA,2021-05-25 01:52:14,-33.0153,27.9116,75.88,36,100,7.72
